תחקירן,נושא,פוליטיקאי,אמירה,תאריך אמירה,מקור אמירה,סוג,הפרכה,תאריך הפרכה,מקור הפרכה
טרו,כלכלי,בנימין נתניהו,"הפחתת הרגולציה, הפחתת המכסים והמכסות והרחבת היבוא המקביל",2022-08-03,https://www.facebook.com/watch/?v=591766592653385,הבטחה,ההגבלה העיקרית על היבואנים - הגבלה לזיכיון בלעדי אחד בלבד - אכן נפלה מן הפרק.,2023-02-24,https://www.globes.co.il/news/article.aspx?did=1001439454
טרו,כלכלי,בנימין נתניהו,"""חינוך חינם מגיל 0, אג""ח צמודות למחירי דיור""",2022-08-03,https://www.ynet.co.il/news/article/b1yzucda5,הבטחה,חינוך חינם לגילים 3-0? הבטחת הבחירות של נתניהו - מחוץ לתקציב,2023-03-22,https://www.mako.co.il/news-money/2023_q1/Article-da11489b0da7681027.htm
טרו,מדיני,בנימין נתניהו,"אחיל את הריבונות הישראלית על בקעת הירדן וצפון ים המלח""",2019-09-10,https://www.youtube.com/watch?v=BDsfok-8si0,הבטחה,לא קרה,,
טרו,כלכלי,בנימין נתניהו,נוריד את מחירי הפירות והירקות ונשמור על החקלאים,2022-09-20,https://twitter.com/netanyahu?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,הבטחה,ליל הסדר בפתח: בכמה התייקר סל הקניות לפסח,2023-03-15,https://www.srugim.co.il/773800-%D7%9C%D7%99%D7%9C-%D7%94%D7%A1%D7%93%D7%A8-%D7%91%D7%A4%D7%AA%D7%97-%D7%91%D7%9B%D7%9E%D7%94-%D7%94%D7%AA%D7%99%D7%99%D7%A7%D7%A8-%D7%A1%D7%9C-%D7%94%D7%A7%D7%A0%D7%99%D7%95%D7%AA-%D7%9C%D7%A4%D7%A1
טרו,כלכלי,בנימין נתניהו,"""נקפיא את מחירי החשמל, הדלק, המשכנתאות והארנונה לשנה""",2022-10-19,https://www.ice.co.il/finance/news/article/901768,הבטחה,"לשכת נתניהו ל""אולפן שישי"": ""אין כוונה להקפיא משכנתאות""",2022-10-29,https://www.mako.co.il/news-politics/2022_q4/Article-38c409d1e232481027.htm
טרו,כלכלי,בנימין נתניהו,"""אעמוד בעצמי בראש קבינט הדיור""",2022-11-02,https://nadlan.walla.co.il/item/3538294,הבטחה,"שר הבינוי והשיכון יצחק גולדקנופף יעמוד בראש ועדת השרים לענייני דיור, בנייה ומקרקעין.",2023-02-19,https://www.ynet.co.il/economy/article/hyzyp0xhi
טרו,כלכלי,בנימין נתניהו,הפחתה מדורגת של המעמ מ 17% ל- 12% על פני 5 שנים,2022-08-03,https://www.facebook.com/watch/?v=591766592653385,הבטחה,לא עלה במסגרת התקציב,,
גיא זוהר,חינוך,בנימין נתניהו,"
ראש הממשלה נתניהו הבטיח חינוך חינם, אבל האם היו אותיות קטנות בהבטחה?
 ",2022-10-26,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_so1w09ka,הבטחה,לא קרה,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_so1w09ka
גיא זוהר,חינוך,בנימין נתניהו,"
יו""ר הליכוד נתניהו מבטיח חינוך חינם מגיל לידה עד שלוש
 ",2023-02-26,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_5980y0yz,הבטחה,לא קרה,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_5980y0yz
גיא זוהר,מדיני,בנימין נתניהו,"
מתי יוכרז על שלום עם סעודיה? זה עניין של זמן, כבר הרבה זמן
 ",2023-01-03,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_7i7lrsvn,הבטחה,לא קרה,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_7i7lrsvn
גיא זוהר,מדיני,בנימין נתניהו,"
ראש הממשלה המיועד נתניהו הבטיח לבטל את הסכם הגז עם לבנון
 ",2023-01-22,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_vkdfbi8s,הבטחה,לא קרה,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_vkdfbi8s
